entity,n_activities,n_filings,n_client_ids,first_year,last_year,n_years_span,raw_names_merged
PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL),6,3,1,2022,2022,1,PARAMOUNT SKYDANCE CORPORATION (FKA PARAMOUNT GLOBAL)
PHILIPS HOLDING USA INC.,6,4,1,2022,2024,3,PHILIPS HOLDING USA INC.
PREMISE,6,6,1,2022,2023,2,PREMISE
S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.),6,3,1,2024,2024,1,S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.)
SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION (SIFMA),6,6,1,2022,2024,3,SECURITIES INDUSTRY AND FINANCIAL MARKETS ASSOCIATION (SIFMA)
THE PROCTER AND GAMBLE COMPANY,6,6,1,2022,2024,3,THE PROCTER AND GAMBLE COMPANY
TIKTOK INC.,6,3,1,2022,2022,1,TIKTOK INC.
TRANSAMERICA COMPANIES,6,6,1,2022,2024,3,TRANSAMERICA COMPANIES
CHARTER COMMUNICATIONS,6,6,3,2022,2024,3,"CHARTER COMMUNICATIONS, INC.; CHARTER COMMUNICATIONS INC."
HP,6,5,2,2022,2023,2,HP INC; HP INC.
AMERICAN FAMILY MUTUAL INSURANCE COMPANY,6,6,2,2022,2022,1,"AMERICAN FAMILY MUTUAL INSURANCE COMPANY, S.I.; AMERICAN FAMILY MUTUAL INSURANCE COMPANY"
NCTA - THE INTERNET & TELEVISION ASSOCIATION,6,6,2,2022,2024,3,NCTA - THE INTERNET & TELEVISION ASSOCIATION; NCTA-THE INTERNET & TELEVISION ASSOCIATION
BLOCK,6,6,2,2024,2024,1,"BLOCK INC.; BLOCK, INC."
GOOGLE CLIENT SERVICES,6,6,3,2022,2024,3,"GOOGLE CLIENT SERVICES LLC; GOOGLE CLIENT SERVICES, LLC"
LIVERAMP,6,6,2,2022,2022,1,"LIVERAMP HOLDINGS INC.; LIVERAMP, INC."
SENTRY INSURANCE,6,6,2,2022,2024,3,SENTRY INSURANCE COMPANY; SENTRY INSURANCE COMPANY (FORMERLY SENTRY INSURANCE A MUTUAL COMPANY)
AMERICAN BAR ASSOCIATION,5,5,1,2022,2024,3,AMERICAN BAR ASSOCIATION
