member,bioguide,registrant,relationship,roster_clients_represented,n_contribution_items,total_amount,first_date,last_date
Schakowsky,S001145,ALLSTATE INSURANCE COMPANY,in_house,ALLSTATE INSURANCE COMPANY,2,6000.0,2024-03-13,2025-03-11
Schakowsky,S001145,"CONTINENTAL TIRE THE AMERICAS, LLC FKA CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",third_party_firm,"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",2,5000.0,2022-07-21,2022-07-21
Schakowsky,S001145,"BROWNSTEIN HYATT FARBER SCHRECK, LLP",third_party_firm,CREDIT KARMA AN INTUIT AFFILIATE; MCDONALD'S CORPORATION; RELX INC; THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE,4,4000.0,2023-02-28,2023-10-25
Schakowsky,S001145,COX ENTERPRISES INC.,in_house,COX ENTERPRISES INC.,4,4000.0,2022-06-24,2025-02-24
Schakowsky,S001145,EBAY INC.,in_house,EBAY INC.,2,3500.0,2022-06-06,2023-07-20
Schakowsky,S001145,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION FKA PROPERTY CASUALTY INSURERS ASSOC. OF AMERICA,third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION,2,3500.0,2023-03-13,2024-06-17
Schakowsky,S001145,GOOGLE CLIENT SERVICES LLC,in_house,GOOGLE CLIENT SERVICES LLC,4,3000.0,2022-04-08,2024-09-13
Schakowsky,S001145,THORN RUN PARTNERS,third_party_firm,"COLLEGE OF HEALTHCARE INFORMATION MANAGEMENT EXECUTIVES (CHIME); COMCAST CORPORATION; EBAY INC; EQUIFAX INC.; JM FAMILY ENTERPRISES, INC; NATIONAL ASSOCIATION OF MUTUAL INSURANCE COMPANIES; ONEMAIN FINANCIAL GROUP, LLC; PAYPAL; T-MOBILE USA, INC.",4,2500.0,2022-06-07,2023-09-30
Schakowsky,S001145,CAPITOL COUNSEL LLC,third_party_firm,"INTUIT, INC. AND AFFILIATES; JOINT COMMISSION ON ACCREDITATION OF HEALTHCARE ORGANIZATIONS; VERIZON COMMUNICATIONS, INC.",5,2500.0,2022-04-08,2024-05-15
Schakowsky,S001145,DLA PIPER LLP (US),third_party_firm,"AURA SUB, LLC",2,2000.0,2024-01-25,2024-01-25
Schakowsky,S001145,"TOYOTA MOTOR NORTH AMERICA, INC. (TMA)",third_party_firm,TOYOTA MOTOR NORTH AMERICA INC (TMA),2,2000.0,2022-10-28,2023-10-17
Schakowsky,S001145,TIBER CREEK GROUP,third_party_firm,AMERICAN PROPERTY CASUALTY INSURANCE ASSOCIATION; FINSECA; INFORMATION TECHNOLOGY INDUSTRY COUNCIL; SAP AMERICA INC.; THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY; UNITED SERVICES AUTOMOBILE ASSOCIATION,25,1875.0,2023-06-01,2025-05-01
Schakowsky,S001145,CUNEO GILBERT & LADUCA,third_party_firm,AMERICAN ASSOCIATION FOR JUSTICE,4,1865.0,2023-10-25,2025-03-24
Schakowsky,S001145,"AVOQ, LLC",third_party_firm,"AMAZON.COM SERVICES, INC.; BIOTECHNOLOGY INNOVATION ORGANIZATION; BLOCK, INC.; CTIA - THE WIRELESS ASSOCIATION; ENTERTAINMENT SOFTWARE ASSOCIATION; GUARDIAN LIFE INSURANCE COMPANY OF AMERICA; META PLATFORMS, INC.; RELX INC.; TECHNOLOGY NETWORK AKA TECHNET",2,1000.0,2022-10-19,2022-10-19
Schakowsky,S001145,"LUMEN TECHNOLOGIES, INC.",in_house,"LUMEN TECHNOLOGIES, INC.",1,1000.0,2024-03-07,2024-03-07
Schakowsky,S001145,INVARIANT LLC,third_party_firm,"APPLE INC.; CLOAKED, INC.; EVENTBRITE, INC.; H&R BLOCK MANAGEMENT, LLC; MERCARI, INC.; NATIONAL ASSOCIATION OF REALTORS; NATIONAL RETAIL FEDERATION; NEWS/MEDIA ALLIANCE; NEXTDOOR; NIANTIC, INC.; PREMISE; SALESFORCE, INC.; SHOPIFY INC.; SPACE EXPLORATION TECHNOLOGIES CORP.; THE BUSINESS ROUNDTABLE; TOYOTA MOTOR NORTH AMERICA, INC.; WORKDAY, INC.",2,1000.0,2022-09-13,2023-03-17
