roster_entity,alias_coverage,n_press_mentions,n_distinct_members_mentioning,most_recent_mention_date
PROFESSIONAL BACKGROUND SCREENERS ASSOCIATION,rejected_too_generic,0,0,
PUBLIC BROADCASTING SERVICE,not_reviewed,0,0,
PUBLIC CITIZEN,not_reviewed,0,0,
PUBLIC KNOWLEDGE,not_reviewed,0,0,
"QVC GROUP, INC.",not_reviewed,0,0,
"RACETRAC, INC.",not_reviewed,0,0,
RAI SERVICES COMPANY,not_reviewed,0,0,
"RAPID7, INC.",not_reviewed,0,0,
REGIONS FINANCIAL CORP.,not_reviewed,0,0,
REINSURANCE ASSOCIATION OF AMERICA,rejected_too_generic,0,0,
RELX,not_reviewed,0,0,
RETAIL INDUSTRY LEADERS ASSOCIATION,rejected_too_generic,0,0,
RIIID LABS INC.,not_reviewed,0,0,
ROCK CENTRAL,not_reviewed,0,0,
ROCKET LP,not_reviewed,0,0,
S&P GLOBAL INC. (F/K/A MCGRAW HILL FINANCIAL INC.),not_reviewed,0,0,
S&P GLOBAL MOBILITY (FORMERLY KNOWN AS IHS MARKIT D/B/A R.L. POLK & CO.),not_reviewed,0,0,
"SALESFORCE, INC.",not_reviewed,0,0,
"SB GROUP US, INC. DBA SOFTBANK GROUP US, INC.",not_reviewed,0,0,
"SCHWEITZER ENGINEERING LABORATORIES, INC.",not_reviewed,0,0,
SECURIAN FINANCIAL GROUP,not_reviewed,0,0,
SECURITY INDUSTRY ASSOCIATION,not_reviewed,0,0,
SENTRY INSURANCE,not_reviewed,0,0,
"SIEMENS MEDICAL SOLUTIONS USA, INC",not_reviewed,0,0,
"SIX CONTINENTS HOTELS, INC.",not_reviewed,0,0,
"SK AMERICAS, INC.",rejected_too_generic,0,0,
SNAP INC.,rejected_too_generic,0,0,
"SOCURE, INC.",not_reviewed,0,0,
SIIA,not_reviewed,0,0,
SONY INTERACTIVE ENTERTAINMENT LLC,not_reviewed,0,0,
SPACE EXPLORATION TECHNOLOGIES CORP.,not_reviewed,0,0,
STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY,not_reviewed,0,0,
STATE OF CALIFORNIA,rejected_too_generic,0,0,
SUSAN B ANTHONY LIST,not_reviewed,0,0,
SWISS REINSURANCE COMPANY LTD,reviewed,0,0,
TATA AMERICA INTERNATIONAL CORPORATION,not_reviewed,0,0,
"TD BANK, NA",not_reviewed,0,0,
TECHNET,rejected_too_generic,0,0,
THE COLLEGE BOARD,not_reviewed,0,0,
THE INSTITUTE FOR LEGAL REFORM - U.S. CHAMBER OF COMMERCE,not_reviewed,0,0,
THE NONPROFIT ALLIANCE,not_reviewed,0,0,
THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY,rejected_too_generic,0,0,
THE PROCTER AND GAMBLE COMPANY,not_reviewed,0,0,
TNC (US) HOLDINGS (FKA NIELSEN),not_reviewed,0,0,
TRANS UNION LLC,not_reviewed,0,0,
TRANSAMERICA COMPANIES,not_reviewed,0,0,
TRANSUNION,not_reviewed,0,0,
TRAVEL TECH: THE TRAVEL TECHNOLOGY ASSOCIATION,not_reviewed,0,0,
TRIPADVISOR LLC,not_reviewed,0,0,
TWILIO,reviewed,0,0,
"TWITTER, INC.",not_reviewed,0,0,
UNIDOSUS,not_reviewed,0,0,
UNISYS CORPORATION,not_reviewed,0,0,
UNIVERSITY OF PHOENIX,not_reviewed,0,0,
UPS (UNITED PARCEL SERVICE),not_reviewed,0,0,
VIZIO,not_reviewed,0,0,
VOLVO GROUP NORTH AMERICA LLC,not_reviewed,0,0,
WALGREEN CO.,not_reviewed,0,0,
"WORKDAY, INC.",rejected_too_generic,0,0,
WORLDWIDE ERC,not_reviewed,0,0,
YUM! BRANDS,not_reviewed,0,0,
"ZILLOW GROUP, INC.",not_reviewed,0,0,
ZIMMER BIOMET,not_reviewed,0,0,
ZURICH AMERICAN INSURANCE COMPANY,rejected_too_generic,0,0,
