member,bioguide,contribution_date,amount,amount_num,contribution_type,contributor_name,payee_name,honoree_name_as_filed,filing_year,filing_period,filing_uuid,lda_url
Gonzalez,G000581,2023-12-14,2500.00,2500.0,feca,CULAC,VICENTE GONZALEZ FOR CONGRESS,Rep. Vicente Gonzalez,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Gonzalez,G000581,2023-12-28,5000.00,5000.0,feca,CULAC,VICENTE GONZALEZ FOR CONGRESS,Rep. Vicente Gonzalez,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Gonzalez,G000581,2025-07-16,2000.00,2000.0,feca,AMERICA'S CREDIT UNIONS PAC,VICENTE GONZALEZ FOR CONGRESS,Vicente Gonzalez,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Gonzalez,G000581,2025-12-15,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,VICENTE GONZALEZ FOR CONGRESS,Vicente Gonzalez,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Peters,P000595,2022-09-16,5000.00,5000.0,feca,CULAC,MOTOR CITY PAC,Sen. Gary Peters,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Peters,P000595,2023-10-12,5000.00,5000.0,feca,CULAC,MOTOR CITY PAC,Rep. Gary Peters,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Peters,P000595,2024-06-18,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,MOTOR CITY PAC,Rep. Gary Peters,2024,Mid-Year (Jan 1 - Jun 30),7a60ec9c-8fe0-4680-b684-43480ea1546f,https://lda.gov/filings/public/contribution/7a60ec9c-8fe0-4680-b684-43480ea1546f/print/
Peters,P000595,2025-04-09,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,MOTOR CITY PAC,Gary Peters,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Scott,S001184,2022-09-21,2500.00,2500.0,feca,CULAC,TIM SCOTT FOR SENATE,Sen. Tim Scott,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Scott,S001184,2022-11-30,5000.00,5000.0,feca,CULAC,TOMORROW IS MEANINGFUL PAC,Sen. Tim Scott,2022,Year-End (July 1 - Dec 31),4774a561-a64a-4990-81c2-b2505cba6ec9,https://lda.gov/filings/public/contribution/4774a561-a64a-4990-81c2-b2505cba6ec9/print/
Scott,S001184,2023-04-06,5000.00,5000.0,feca,CULAC,TIM SCOTT FOR AMERICA,Sen. Tim Scott,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Scott,S001184,2023-04-06,5000.00,5000.0,feca,CULAC,TOMORROW IS MEANINGFUL PAC,Tim Scott,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Scott,S001184,2024-12-11,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,TOMORROW IS MEANINGFUL PAC,Tim Scott,2024,Year-End (July 1 - Dec 31),84a0158c-daed-4dd7-86df-d2e5efb5ca90,https://lda.gov/filings/public/contribution/84a0158c-daed-4dd7-86df-d2e5efb5ca90/print/
Scott,S001184,2025-12-30,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,TOMORROW IS MEANINGFUL PAC,Tim Scott,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
Vargas,V000130,2022-02-24,2500.00,2500.0,feca,CULAC,VARGAS FOR CONGRESS,Rep. Juan Vargas,2022,Mid-Year (Jan 1 - Jun 30),c809596c-366a-485b-8c71-0cebd0b1aa76,https://lda.gov/filings/public/contribution/c809596c-366a-485b-8c71-0cebd0b1aa76/print/
Vargas,V000130,2023-02-21,2500.00,2500.0,feca,CULAC,VARGAS FOR CONGRESS,Rep. Juan Vargas,2023,Mid-Year (Jan 1 - Jun 30),d7cd0f30-3895-4715-ada4-de3136c076bc,https://lda.gov/filings/public/contribution/d7cd0f30-3895-4715-ada4-de3136c076bc/print/
Vargas,V000130,2023-09-19,2500.00,2500.0,feca,CULAC,VARGAS FOR CONGRESS,Rep. Juan Vargas,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Vargas,V000130,2023-12-28,5000.00,5000.0,feca,CULAC,VARGAS FOR CONGRESS,Rep. Juan Vargas,2023,Year-End (July 1 - Dec 31),93624f0a-fdf4-45e7-913b-e4c2225e2108,https://lda.gov/filings/public/contribution/93624f0a-fdf4-45e7-913b-e4c2225e2108/print/
Vargas,V000130,2025-03-26,2000.00,2000.0,feca,AMERICA'S CREDIT UNIONS PAC,VARGAS FOR CONGRESS,Rep. Juan Vargas,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Vargas,V000130,2025-06-10,1500.00,1500.0,feca,AMERICA'S CREDIT UNIONS PAC,VARGAS FOR CONGRESS,Rep. Juan Vargas,2025,Mid-Year (Jan 1 - Jun 30),6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4,https://lda.gov/filings/public/contribution/6acc01c1-ff04-4b65-bbbb-84b5ea0d57c4/print/
Vargas,V000130,2025-12-15,5000.00,5000.0,feca,AMERICA'S CREDIT UNIONS PAC,PROTECTING AMERICANS CHALLENGING OPPRESSION (PACO) PAC,Juan Vargas,2025,Year-End (July 1 - Dec 31),c19daac7-cd73-4fba-9a94-74508a609a96,https://lda.gov/filings/public/contribution/c19daac7-cd73-4fba-9a94-74508a609a96/print/
